pop,seed,checkpoint,reached,n_new,recall,precision,igd,hv_gap,raw_at_checkpoint,cache_hits_at_checkpoint,final_raw,final_cache_hits
100,4,10000,1,10000,0.5380622837370242,0.7493975903614458,1.373911448947754,0.0016460155871598715,23002,13002,97500,77490
100,4,15000,1,15000,0.671280276816609,0.8016528925619835,0.905528096950553,0.0012912182438048275,48900,33900,97500,77490
100,4,20000,1,20000,0.7820069204152249,0.8709055876685935,0.5687199311817507,0.00028586873617664416,97407,77407,97500,77490
100,5,4696,1,4696,0.36505190311418684,0.6393939393939394,2.0115449296960004,0.004752504175329202,6778,2082,97400,77398
100,5,6168,1,6168,0.42560553633217996,0.6814404432132964,1.752762849796706,0.0041307827462803435,10234,4066,97400,77398
100,5,6611,1,6611,0.4429065743944637,0.6826666666666666,1.6412287016416192,0.002881865483439398,11313,4702,97400,77398
100,5,10000,1,10000,0.5173010380622838,0.7051886792452831,1.3423540916217997,0.001854652365902498,21241,11241,97400,77398
100,5,15000,1,15000,0.6505190311418685,0.791578947368421,0.9415347751161403,0.0008724024582025167,48637,33637,97400,77398
100,5,20000,1,20000,0.7750865051903114,0.8767123287671232,0.6070178177112756,0.00045938158829582414,97382,77382,97400,77398
100,6,4696,1,4696,0.31314878892733566,0.5171428571428571,2.0881107856699987,0.004295721260103857,6585,1889,86100,66098
100,6,6168,1,6168,0.3892733564013841,0.6016042780748663,1.767444032094306,0.003755607876447892,9920,3752,86100,66098
100,6,6611,1,6611,0.40484429065743943,0.6109660574412533,1.6939373723688356,0.0037299308929740877,10973,4362,86100,66098
100,6,10000,1,10000,0.5484429065743944,0.7304147465437788,1.2176650155345687,0.0021272070313218174,21443,11443,86100,66098
100,6,15000,1,15000,0.7179930795847751,0.8434959349593496,0.6833448070020937,0.001015744323554612,44222,29222,86100,66098
100,6,20000,1,20000,0.8304498269896193,0.9142857142857143,0.37839416690479427,0.0004454080411033569,86069,66069,86100,66098
