pop,seed,checkpoint,reached,n_new,recall,precision,igd,hv_gap,n_outside_ref,raw_at_checkpoint,cache_hits_at_checkpoint,final_raw,final_cache_hits
50,22,6611,1,6611,0.34429065743944637,0.5292553191489362,1.7200887876074367,0.0037561577295873606,0,14467,7856,165350,145348
50,22,10000,1,10000,0.4429065743944637,0.6168674698795181,1.4223630587782659,0.002267953989228849,0,29297,19297,165350,145348
50,22,15000,1,15000,0.5934256055363322,0.7555066079295154,1.118166041736316,0.0008713316320846026,0,70188,55188,165350,145348
50,22,20000,1,20000,0.7006920415224913,0.81,0.8305282878507437,0.00035404082136795387,0,165327,145327,165350,145348
50,23,4696,1,4696,0.33391003460207613,0.5778443113772455,2.247914379723517,0.0033534349246758383,0,8735,4039,154350,134348
50,23,6168,1,6168,0.3737024221453287,0.5901639344262295,1.9953034178940783,0.003269554903422684,0,12919,6751,154350,134348
50,23,6611,1,6611,0.3875432525951557,0.6054054054054054,1.8641994022930484,0.0032526768106925265,0,14356,7745,154350,134348
50,23,10000,1,10000,0.4809688581314879,0.6619047619047619,1.4752770086359086,0.002191096703573063,0,30710,20710,154350,134348
50,23,15000,1,15000,0.610726643598616,0.7575107296137339,1.0733287780092577,0.0011843735288564767,0,69818,54818,154350,134348
50,23,20000,1,20000,0.7422145328719724,0.844488188976378,0.6821940207580534,0.0008133392937128609,0,154306,134306,154350,134348
50,24,4696,1,4696,0.3044982698961938,0.5269461077844312,2.217554679588924,0.004261464147156656,1,8417,3721,169950,149948
50,24,6168,1,6168,0.3546712802768166,0.5678670360110804,1.951824235124431,0.00316759639570683,0,13327,7159,169950,149948
50,24,6611,1,6611,0.3754325259515571,0.6078431372549019,1.9131472306188975,0.00303097054987696,0,14570,7959,169950,149948
50,24,10000,1,10000,0.47231833910034604,0.662621359223301,1.5226728185213496,0.002237434442942325,0,29991,19991,169950,149948
50,24,15000,1,15000,0.5986159169550173,0.7424892703862661,1.172968822855915,0.000965649187237654,0,72174,57174,169950,149948
